Query,Response
What is your name?,my name is Jacob
what is the name of the company,the name of my company is AryanTech
what services do you provide?,"CV analysis, agent wil search and share your job related to your profile every week , wil applying for jobs with custom cover letter and content."
looking for job in marketing,Thank you for sharing details. Can you also provide me with some insight into your skills and experiences that make you a strong candidate
How do your services work?,"Once we understand your specific needs, we'll tailor our services to match your career goals. You'll work closely with our team of experts who will guide you through each step of your job search journey."
what are your charges?,The charge is Rs.500 per month.
what are your charges?,The charge is Five Hundred Rupees per month.
Im interested in your services,I appreciate your interest! We offer a range of job-related services to help you succeed in your career. Can you tell me a bit about your current career goals and what type of job you're looking for?
I am looking for job in accounts. Can you help me?,We provide personalized job recommendations based on your profile and preferences can greatly assist job seekers in finding the right opportunities.
Can you provide any success stories?,Certainly! We have numerous success stories from clients who have landed their dream jobs with our assistance. I can share some testimonials and references with you on whatsapp.
What tips do you provide for job application?,"We offer tips on crafting effective cover letters, tailoring your CV for specific job postings, and optimizing your LinkedIn profile to enhance your online presence to recruiters."
I am interested in new resume,"Great! I can help you create a new resume. To get started, please provide your basic information such as name, contact details, work history, your education, any additional information you want to include(such as hobbies, interests.). Once you provide this information, I can help you format it into a professional and effective resume."
How do I pay?,"You can pay via debit or credit card, PayPal, bank transfers or mobile wallets"
What payment options are available?,"You can typically pay using a credit card, debit card, or other accepted payment methods."
How I submit my CV?,You can share your CV on WhatsApp.
When can I get started with your services?,"As soon as we receive payment confirmation, your services will begin."
what makes your service different from others?,"Excellent question! At aryantech, our team consits of industry professionals with years of experience in recruitment and HR. We keep ourselves uploaded with the latest trends in various industries, ensuring that your resume aligns with current requirements"
What should I do if I encounter any issues during the payment process?,"If you encounter any issues or have questions during payment, you can reach out to customer support for assistance. They can help resolve technical or billing-related concerns."
How can your company help me with my job search?,We provide personalized job recommendations based on your profile and preferences can greatly assist job seekers in finding the right opportunities.
What kind of guidance do you offer for job applications?,"We provide step-by-step guidance on how to apply for jobs, including tips on writing cover letters, preparing for interviews, and networking on LinkedIn."
What makes your service different from others?,"Excellent question! At aryantech, our team consits of industry professionals with years of experience in recruitment and HR. We keep ourselves uploaded with the latest trends in various industries, ensuring that your resume aligns with current requirements"
How do your services work?,"Once we understand your specific needs, we'll tailor our services to match your career goals. You'll work closely with our team of experts who will guide you through each step of your job search journey."""
What about cover letters and resumes?,"Our team specializes in crafting compelling cover letters and resumes tailored to your industry and job preferences. We'll highlight your skills and experience to make you stand out. Would you like to learn more or get started?"""
Can you explain more about how the CV analysis works?,"Yes,sure. CV (Curriculum Vitae) analysis, often referred to as resume parsing or CV parsing, is a process used by many job search and recruitment platforms to extract and analyze information from resumes or CVs submitted by job seekers."""
Can I choose between monthly and annual billing options for my subscription?,"Yes, you can choose between monthly and annual billing options. Monthly billing charges you on a month-to-month basis, while annual billing provides a discounted rate for a full year of service."""
Are there any discounts or promotions available for subscriptions?,"I am sorry, but right now there are no discounts or promotions available."""
How can your company help me with my job search?,"We provide personalized job recommendations based on your profile and preferences can greatly assist job seekers in finding the right opportunities. Additionally, offering tips on optimizing their profiles to attract employers is a practical way to enhance their job search efforts. These services can help individuals stand out in a competitive job market and increase their chances of securing the positions they desire. If you have any specific questions or need further information on how your services work, feel free to ask."""
How can I get in touch with your customer support team?,"You can reach our customer support team via email, phone, or through the messaging system on our platform. We're here to help you with any questions or issues you may have."""
Can you help me with other aspects of my job search beyond CV improvement?,"While our primary focus is CV analysis and optimization, we also offer guidance on job searching, interview preparation, and networking to help you succeed in your job search endeavors."""
